iso_alpha3,country_name,cluster_label,total_fob_usd,last_year_fob_usd,first_year_fob_usd,active_months,n_hs,cagr
HUN,Hungary,Untapped,132336.074,18620.690000000002,58533.556000000004,22,4,-0.2047234583700398
MNG,Mongolia,Declining,103634.40699999999,3890.328,47652.74,23,3,-0.3941296935919024
SDN,Sudan,Declining,833243.4029999999,240231.527,143198.587,34,3,0.10901712867160329
TUN,Tunisia,Declining,1613165.954,468968.38599999994,55744.461,32,3,0.531046458717066
CUW,Curaçao,Untapped,716461.5630000001,63.326,713946.601,19,3,-0.8452668861911903
PNG,Papua New Guinea,Declining,439384.848,131846.361,75363.993,24,3,0.1183580017042336
TGO,Togo,Untapped,4151.296,695.59,2436.2360000000003,22,1,-0.22173626371458444
JAM,Jamaica,Declining,566052.311,132798.87,70373.773,20,3,0.135420441484716
GUY,Guyana,Rising Star,775823.11,547907.5160000001,3696.2079999999996,43,4,1.717629017442294
MLT,Malta,Declining,63699.408,35025.637,7496.667,17,3,0.36114240587268354
MWI,Malawi,Declining,110779.974,19527.785,21433.652000000002,28,4,-0.01845240802062731
SVK,Slovakia,Declining,665729.517,122.477,41363.528,29,2,-0.6879045815674998
MOZ,Mozambique,Rising Star,411265.739,168267.306,493.929,31,4,2.209719222786222
GEO,Georgia,Rising Star,554250.942,63.053,6301.846,18,3,-0.6018491990308686
EST,Estonia,Untapped,400827.942,379.46999999999997,159497.268,18,4,-0.7012658722569095
SLE,Sierra Leone,Rising Star,22875.134000000002,3021.919,47.803,18,3,1.2917409937605977
LBR,Liberia,Declining,66059.374,331.17400000000004,664.315,13,4,-0.1299655787946652
BWA,Botswana,Rising Star,2484.888,378.202,24.715,11,2,0.7256497039300542
KHM,Cambodia,Declining,34174.665,274.279,4723.603,12,2,-0.4340424817363562
RWA,Rwanda,Untapped,10038.939,59.641,1191.114,11,3,-0.4505624745916811
LBY,Libya,Rising Star,239960.753,125503.525,1186.072,12,3,1.5404401864468809
TCD,Chad,Untapped,13338.932,0.108,307.003,7,2,-0.796175574346184
ZWE,Zimbabwe,Declining,144099.42799999999,168.006,,8,4,
